name,slug,url,number,n,quality,price_median,psf_median,psf_yoy,n_yoy,offplan_share,n_projects,units,building
Saas Properties L.L.C - Dubai Branch,saas-properties-l-l-c-dubai-branch,https://datadubai.ae/developers/saas-properties-l-l-c-dubai-branch/,1360,282,ok,1725148.0,1772.02,1.6,65.9,100.0,1,859,1
Tameer Holding Investment   (Llc),tameer-holding-investment-llc,https://datadubai.ae/developers/tameer-holding-investment-llc/,99,277,ok,1480000.0,1166.13,-11.7,-28.1,0.0,10,3327,3
Estate Grand Real Estate Development L.L.C,estate-grand-real-estate-development-l-l-c,https://datadubai.ae/developers/estate-grand-real-estate-development-l-l-c/,1720,268,ok,6601000.0,4727.49,,8833.3,100.0,1,552,1
Meraki Real Estate Development L.L.C,meraki-real-estate-development-l-l-c,https://datadubai.ae/developers/meraki-real-estate-development-l-l-c/,1230,263,ok,1060114.0,1300.0,7.4,-7.7,45.2,5,1161,3
Imtiaz Gi Real Estate Development L.L.C,imtiaz-gi-real-estate-development-l-l-c,https://datadubai.ae/developers/imtiaz-gi-real-estate-development-l-l-c/,2323,260,ok,2371714.5,2322.75,-1.4,1900.0,100.0,2,311,2
Amer Alghurair Real Estate Development Co. L.L.C,amer-alghurair-real-estate-development-co-l-l-c,https://datadubai.ae/developers/amer-alghurair-real-estate-development-co-l-l-c/,1456,257,ok,699258.5,1405.34,38.1,242.7,75.5,2,1483,2
Green Properties Development Co. L.L.C,green-properties-development-co-l-l-c,https://datadubai.ae/developers/green-properties-development-co-l-l-c/,1198,253,ok,1373350.0,1633.4,2.3,-42.5,66.8,4,1084,2
Tabeer Real Estate Development L.L.C,tabeer-real-estate-development-l-l-c,https://datadubai.ae/developers/tabeer-real-estate-development-l-l-c/,1062,253,ok,1089000.0,1378.76,6.8,9.5,83.8,6,900,3
Suncrest Hills Property L.L.C,suncrest-hills-property-l-l-c,https://datadubai.ae/developers/suncrest-hills-property-l-l-c/,1882,252,ok,711060.0,1469.03,,,100.0,1,350,1
District One - Fz,district-one-fz,https://datadubai.ae/developers/district-one-fz/,956,251,ok,2699685.0,2018.38,-8.5,-29.3,6.4,37,3065,1
Gulf General Investments Co. (P.S.C),gulf-general-investments-co-p-s-c,https://datadubai.ae/developers/gulf-general-investments-co-p-s-c/,285,250,ok,725000.0,764.09,4.1,-20.9,0.0,24,3330,4
Alfurjan ( L.L.C ),alfurjan-l-l-c,https://datadubai.ae/developers/alfurjan-l-l-c/,121,249,ok,6000000.0,,,-49.9,0.0,8,2771,0
Time Properties,time-properties,https://datadubai.ae/developers/time-properties/,527,248,ok,580000.0,1041.86,7.2,-55.2,17.3,11,3055,5
Imtiaz Luxury Real Estate Development L.L.C,imtiaz-luxury-real-estate-development-l-l-c,https://datadubai.ae/developers/imtiaz-luxury-real-estate-development-l-l-c/,2259,245,ok,1349295.0,1729.53,,,100.0,2,381,2
Vincitore Premium Real Estate Development L.L.C,vincitore-premium-real-estate-development-l-l-c,https://datadubai.ae/developers/vincitore-premium-real-estate-development-l-l-c/,1473,245,ok,1220100.0,1715.2,10.0,51.2,100.0,3,2605,3
Imtiaz Symphony Development L.L.C,imtiaz-symphony-development-l-l-c,https://datadubai.ae/developers/imtiaz-symphony-development-l-l-c/,2537,242,ok,2124767.0,2445.84,,,100.0,1,369,1
The Palm - Jumeirah Co. (L.L.C),the-palm-jumeirah-co-l-l-c,https://datadubai.ae/developers/the-palm-jumeirah-co-l-l-c/,103,240,ok,3850000.0,2777.98,8.9,-27.7,27.1,12,3106,5
Amaal Emirates L.L.C,amaal-emirates-l-l-c,https://datadubai.ae/developers/amaal-emirates-l-l-c/,1734,239,ok,2227888.0,2202.39,11.4,624.2,100.0,1,533,1
Boujee Real Estate Development L.L.C,boujee-real-estate-development-l-l-c,https://datadubai.ae/developers/boujee-real-estate-development-l-l-c/,1742,239,ok,1287000.0,1718.47,,,100.0,1,285,1
